player_br_id,game_br_id,quarter,minutes_played,team_br_id,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_pointer_attempts,three_pointer_percentage,free_throws,free_throw_attempts,free_throw_percentage,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
valanjo01,202008150POR,3,8:28,MEM,,,,,,,,,,,,,,,,,,,
anderky01,202008150POR,3,7:06,MEM,,,,,,,,,,,,,,,,,,,
tollian01,202008150POR,3,5:37,MEM,,,,,,,,,,,,,,,,,,,
clarkbr01,202008150POR,3,6:23,MEM,,,,,,,,,,,,,,,,,,,
allengr01,202008150POR,3,4:54,MEM,,,,,,,,,,,,,,,,,,,
meltode01,202008150POR,3,3:52,MEM,,,,,,,,,,,,,,,,,,,
dienggo01,202008150POR,3,3:32,MEM,,,,,,,,,,,,,,,,,,,
gudurma01!!!!,202008150POR,3,,MEM,,,,,,,,,,,,,,,,,,,
jacksjo02!!!!,202008150POR,3,,MEM,,,,,,,,,,,,,,,,,,,
konchjo01!!!!,202008150POR,3,,MEM,,,,,,,,,,,,,,,,,,,
watanyu01!!!!,202008150POR,3,,MEM,,,,,,,,,,,,,,,,,,,
lillada01,202008150POR,4,12:00,MEM,,,,,,,,,,,,,,,,,,,
mccolcj01,202008150POR,4,12:00,MEM,,,,,,,,,,,,,,,,,,,
nurkiju01,202008150POR,4,11:14,MEM,,,,,,,,,,,,,,,,,,,
anthoca01,202008150POR,4,11:41,MEM,,,,,,,,,,,,,,,,,,,
colliza01,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
trentga02,202008150POR,4,12:00,MEM,,,,,,,,,,,,,,,,,,,
whiteha01,202008150POR,4,0:46,MEM,,,,,,,,,,,,,,,,,,,
gabriwe01,202008150POR,4,0:19,MEM,,,,,,,,,,,,,,,,,,,
hezonma01,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
adamsja01!!!!,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
hoardja01!!!!,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
simonan01!!!!,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
moranja01,202008150POR,4,12:00,MEM,,,,,,,,,,,,,,,,,,,
brookdi01,202008150POR,4,10:36,MEM,,,,,,,,,,,,,,,,,,,
valanjo01,202008150POR,4,9:14,MEM,,,,,,,,,,,,,,,,,,,
anderky01,202008150POR,4,5:10,MEM,,,,,,,,,,,,,,,,,,,
tollian01,202008150POR,4,4:29,MEM,,,,,,,,,,,,,,,,,,,
clarkbr01,202008150POR,4,7:34,MEM,,,,,,,,,,,,,,,,,,,
allengr01,202008150POR,4,6:50,MEM,,,,,,,,,,,,,,,,,,,
meltode01,202008150POR,4,1:24,MEM,,,,,,,,,,,,,,,,,,,
dienggo01,202008150POR,4,2:43,MEM,,,,,,,,,,,,,,,,,,,
gudurma01!!!!,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
jacksjo02!!!!,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
konchjo01!!!!,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
watanyu01!!!!,202008150POR,4,,MEM,,,,,,,,,,,,,,,,,,,
